Scenario,Fixed-Time_AvgVQ,Fixed-Time_AvgVW,Fixed-Time_AvgPW,Fixed-Time_MaxVW,Fixed-Time_MaxPW,Fixed-Time_SwCnt,Actuated_AvgVQ,Actuated_AvgVW,Actuated_AvgPW,Actuated_MaxVW,Actuated_MaxPW,Actuated_SwCnt,Adaptive_AvgVQ,Adaptive_AvgVW,Adaptive_AvgPW,Adaptive_MaxVW,Adaptive_MaxPW,Adaptive_SwCnt,Adaptive+Shield_AvgVQ,Adaptive+Shield_AvgVW,Adaptive+Shield_AvgPW,Adaptive+Shield_MaxVW,Adaptive+Shield_MaxPW,Adaptive+Shield_SwCnt
balanced,4.65,8.3,6.1,68.0,79.0,11.0,3.24,4.3,2.2,44.0,49.0,19.0,2.13,2.4,4.6,42.0,63.0,18.0,2.48,3.0,4.3,40.0,58.0,17.0
ped_heavy,4.35,7.8,5.7,68.0,86.0,11.0,3.1,4.1,2.7,42.0,50.0,19.0,2.91,3.7,2.7,42.0,50.0,18.0,3.12,4.2,2.4,46.0,49.0,18.0
vehicle_heavy,12.37,8.1,6.1,70.0,79.0,11.0,13.71,6.2,2.2,45.0,49.0,19.0,4.77,1.8,10.0,31.0,100.0,18.0,4.63,1.8,7.9,29.0,98.0,17.0
bursty_ped,4.42,7.8,3.2,69.0,83.0,11.0,3.07,4.1,2.9,42.0,51.0,19.0,2.87,3.6,2.0,45.0,72.0,18.0,2.71,3.4,2.1,44.0,57.0,18.0
