scenario_name,controller_name,seed,sim_duration,average_vehicle_queue_length,max_vehicle_queue_length,average_vehicle_waiting_time,max_vehicle_waiting_time,average_ped_waiting_time,max_ped_waiting_time,switch_count,shield_hold_min_hold,shield_hold_small_gain,shield_override_starvation,shield_override_demand
intersection_balanced,adaptive_only,11,300.0,2.227,6,2.6,44.0,4.5,68.0,18,0,0,0,0
intersection_balanced,adaptive_only,12,300.0,2.163,7,2.4,42.0,4.3,55.0,18,0,0,0,0
intersection_balanced,adaptive_only,13,300.0,2.213,6,2.4,40.0,4.5,65.0,18,0,0,0,0
intersection_balanced,adaptive_only,14,300.0,2.353,7,2.9,43.0,4.5,59.0,18,0,0,0,0
intersection_balanced,adaptive_only,15,300.0,2.193,6,2.7,42.0,4.4,65.0,18,0,0,0,0
intersection_balanced,adaptive_only,16,300.0,2.083,6,2.4,44.0,4.8,64.0,18,0,0,0,0
intersection_balanced,adaptive_only,17,300.0,2.11,7,2.4,43.0,4.4,53.0,18,0,0,0,0
intersection_balanced,adaptive_only,18,300.0,2.077,5,2.3,41.0,4.7,60.0,18,0,0,0,0
intersection_balanced,adaptive_only,19,300.0,2.343,7,2.7,44.0,4.4,57.0,18,0,0,0,0
intersection_balanced,adaptive_shield,0,300.0,2.6,7,3.1,42.0,4.4,69.0,17,1,0,17,0
intersection_balanced,adaptive_shield,1,300.0,2.507,7,3.0,42.0,4.4,61.0,17,1,0,17,0
intersection_balanced,adaptive_shield,2,300.0,2.557,7,3.1,44.0,4.1,60.0,17,1,0,17,0
intersection_balanced,adaptive_shield,3,300.0,2.593,7,3.2,43.0,5.7,80.0,17,1,1,17,0
intersection_balanced,adaptive_shield,4,300.0,2.54,8,3.0,41.0,4.6,66.0,18,2,0,17,0
intersection_balanced,adaptive_shield,5,300.0,2.663,8,3.3,43.0,3.8,59.0,18,1,0,17,0
intersection_balanced,adaptive_shield,6,300.0,2.75,8,3.5,44.0,4.8,67.0,18,1,0,17,0
intersection_balanced,adaptive_shield,7,300.0,2.447,9,2.7,43.0,5.1,66.0,17,1,0,17,0
intersection_balanced,adaptive_shield,8,300.0,2.293,7,2.7,38.0,4.8,66.0,17,1,0,17,0
intersection_balanced,adaptive_shield,9,300.0,2.457,7,3.0,39.0,4.4,61.0,17,1,1,17,0
intersection_balanced,adaptive_shield,10,300.0,2.523,8,3.1,42.0,4.5,59.0,17,1,0,17,0
intersection_balanced,adaptive_shield,11,300.0,2.657,8,3.3,45.0,4.0,63.0,18,1,0,17,0
intersection_balanced,adaptive_shield,12,300.0,2.407,7,2.8,38.0,4.6,63.0,17,1,0,17,0
intersection_balanced,adaptive_shield,13,300.0,2.933,8,3.6,45.0,4.2,62.0,18,1,0,17,0
intersection_balanced,adaptive_shield,14,300.0,2.497,8,2.9,42.0,4.6,56.0,18,2,0,17,0
intersection_balanced,adaptive_shield,15,300.0,2.677,8,3.3,42.0,3.7,60.0,18,1,0,17,0
intersection_balanced,adaptive_shield,16,300.0,2.663,8,3.3,43.0,4.3,60.0,18,1,0,17,0
intersection_balanced,adaptive_shield,17,300.0,2.68,8,3.3,38.0,4.0,61.0,18,1,0,17,0
intersection_balanced,adaptive_shield,18,300.0,2.653,8,3.2,40.0,3.9,56.0,18,1,0,17,0
intersection_balanced,adaptive_shield,19,300.0,2.51,8,3.0,41.0,3.7,59.0,18,2,0,17,0
intersection_ped_heavy,fixed_time,0,300.0,4.387,12,7.7,68.0,5.5,83.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,1,300.0,4.127,11,7.2,64.0,5.6,86.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,2,300.0,4.087,11,7.0,67.0,5.4,83.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,3,300.0,4.65,13,8.2,70.0,5.9,86.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,4,300.0,4.353,12,7.8,70.0,5.6,83.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,5,300.0,4.587,12,8.2,68.0,5.5,81.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,6,300.0,3.86,11,6.7,64.0,5.7,83.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,7,300.0,4.067,11,7.1,62.0,5.5,84.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,8,300.0,4.403,12,7.8,70.0,5.5,84.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,9,300.0,4.117,11,7.2,68.0,5.6,85.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,10,300.0,4.39,12,7.6,71.0,6.0,84.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,11,300.0,4.353,12,7.7,68.0,5.7,82.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,12,300.0,4.853,13,8.6,70.0,5.6,84.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,13,300.0,4.553,12,8.1,69.0,5.7,86.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,14,300.0,4.603,12,8.2,69.0,5.6,83.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,15,300.0,4.583,13,8.0,69.0,5.6,82.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,16,300.0,4.32,11,7.5,67.0,5.7,83.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,17,300.0,4.617,12,8.3,70.0,5.6,84.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,18,300.0,4.297,12,7.3,68.0,5.7,83.0,11,0,0,0,0
intersection_ped_heavy,fixed_time,19,300.0,4.587,13,8.0,69.0,5.7,86.0,11,0,0,0,0
intersection_ped_heavy,actuated,0,300.0,3.077,8,4.1,41.0,2.6,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,1,300.0,3.03,8,4.0,43.0,2.5,50.0,19,0,0,0,0
intersection_ped_heavy,actuated,2,300.0,3.07,8,4.0,41.0,2.9,50.0,19,0,0,0,0
intersection_ped_heavy,actuated,3,300.0,3.19,9,4.2,41.0,2.6,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,4,300.0,3.053,8,4.0,41.0,2.7,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,5,300.0,3.06,8,4.1,42.0,2.9,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,6,300.0,3.13,8,4.1,41.0,2.7,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,7,300.0,3.007,8,4.0,43.0,2.8,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,8,300.0,3.03,8,4.0,41.0,2.6,50.0,19,0,0,0,0
intersection_ped_heavy,actuated,9,300.0,3.253,9,4.2,45.0,2.8,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,10,300.0,3.23,9,4.3,44.0,2.8,52.0,19,0,0,0,0
intersection_ped_heavy,actuated,11,300.0,3.08,8,4.1,43.0,2.8,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,12,300.0,3.047,8,4.0,41.0,2.8,50.0,19,0,0,0,0
intersection_ped_heavy,actuated,13,300.0,3.017,8,4.0,41.0,3.0,52.0,19,0,0,0,0
intersection_ped_heavy,actuated,14,300.0,3.197,9,4.2,43.0,2.8,52.0,19,0,0,0,0
intersection_ped_heavy,actuated,15,300.0,3.277,9,4.4,43.0,2.7,52.0,19,0,0,0,0
intersection_ped_heavy,actuated,16,300.0,3.117,8,4.1,41.0,2.7,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,17,300.0,3.033,8,4.0,41.0,2.9,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,18,300.0,3.203,9,4.2,43.0,2.7,51.0,19,0,0,0,0
intersection_ped_heavy,actuated,19,300.0,2.997,8,3.8,40.0,2.8,51.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,0,300.0,3.22,7,4.5,45.0,2.6,51.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,1,300.0,3.057,8,3.9,43.0,2.5,50.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,2,300.0,2.863,8,3.7,42.0,2.6,49.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,3,300.0,3.25,8,4.3,44.0,2.4,50.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,4,300.0,3.203,8,4.4,51.0,2.6,50.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,5,300.0,3.03,8,3.8,41.0,2.6,51.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,6,300.0,3.333,9,4.6,52.0,2.4,49.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,7,300.0,2.907,8,3.7,43.0,2.6,50.0,18,0,0,0,0
intersection_ped_heavy,adaptive_only,8,300.0,3.233,8,4.4,46.0,2.5,51.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,9,300.0,3.243,7,4.4,46.0,2.5,49.0,19,0,0,0,0
intersection_ped_heavy,adaptive_only,10,300.0,2.907,7,3.7,42.0,2.8,52.0,18,0,0,0,0
