scenario_id,scenario_name,controller_name,seed,sim_duration,average_vehicle_queue_length,max_vehicle_queue_length,average_vehicle_waiting_time,max_vehicle_waiting_time,average_ped_waiting_time,max_ped_waiting_time,switch_count,switch_rate_per_300s,unnecessary_switch_count,unnecessary_switch_rate,conflict_release_count,dangerous_switch_attempt_count,vehicle_wait_p95,ped_wait_p95,vehicle_starvation_count,ped_starvation_count,shield_hold_min_hold,shield_hold_small_gain,shield_override_starvation,shield_override_demand,delay_applied_steps,delay_seconds,false_ped_injected_count,burst_mode,failure_spoofed_steps,failure_mode_used
S1_balanced,intersection_balanced,fixed_time,0,300.0,4.573,13,7.9,70.0,6.3,85.0,11,11.0,1,0.091,0,0,44.0,45.0,0,4,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,1,300.0,4.543,12,8.0,69.0,6.3,83.0,11,11.0,1,0.091,0,0,43.0,45.0,0,3,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,2,300.0,4.263,12,7.5,64.0,6.1,82.0,11,11.0,1,0.091,0,0,42.0,44.0,0,3,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,3,300.0,4.147,12,7.1,67.0,6.4,82.0,11,11.0,1,0.091,0,0,41.0,46.0,0,5,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,4,300.0,4.137,12,7.4,70.0,6.3,81.0,11,11.0,1,0.091,0,0,41.0,45.0,0,4,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,5,300.0,4.34,12,7.6,70.0,6.2,86.0,11,11.0,1,0.091,0,0,42.0,45.0,0,4,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,6,300.0,4.34,12,7.6,67.0,6.4,80.0,11,11.0,1,0.091,0,0,43.0,45.0,0,5,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,7,300.0,4.083,11,7.1,63.0,6.4,82.0,11,11.0,1,0.091,0,0,40.0,45.0,0,4,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,8,300.0,4.357,12,7.6,68.0,5.9,83.0,11,11.0,1,0.091,0,0,42.0,43.0,0,3,0,0,0,0,0,0,0,0,0,0
S1_balanced,intersection_balanced,fixed_time,9,300.0,4.37,12,7.6,70.0,6.2,82.0,11,11.0,1,0.091,0,0,42.0,45.0,0,3,0,0,0,0,0,0,0,0,0,0
