scenario_id,controller_name,n_runs,average_vehicle_queue_length_mean,average_vehicle_queue_length_std,max_vehicle_queue_length_mean,max_vehicle_queue_length_std,average_vehicle_waiting_time_mean,average_vehicle_waiting_time_std,max_vehicle_waiting_time_mean,max_vehicle_waiting_time_std,average_ped_waiting_time_mean,average_ped_waiting_time_std,max_ped_waiting_time_mean,max_ped_waiting_time_std,switch_count_mean,switch_count_std,switch_rate_per_300s_mean,switch_rate_per_300s_std,unnecessary_switch_count_mean,unnecessary_switch_count_std,unnecessary_switch_rate_mean,unnecessary_switch_rate_std,conflict_release_count_mean,conflict_release_count_std,dangerous_switch_attempt_count_mean,dangerous_switch_attempt_count_std,vehicle_wait_p95_mean,vehicle_wait_p95_std,ped_wait_p95_mean,ped_wait_p95_std,vehicle_starvation_count_mean,vehicle_starvation_count_std,ped_starvation_count_mean,ped_starvation_count_std,shield_hold_min_hold_mean,shield_hold_min_hold_std,shield_hold_small_gain_mean,shield_hold_small_gain_std,shield_override_starvation_mean,shield_override_starvation_std,shield_override_demand_mean,shield_override_demand_std
S4_delay_detection,adaptive_shield,20,2.713,0.144,7.9,0.641,3.37,0.296,41.3,1.895,4.0,0.34,56.1,6.609,17.85,0.366,17.85,0.366,1.45,0.51,0.081,0.028,0.0,0.0,0.0,0.0,23.15,1.599,27.75,1.86,0.0,0.0,0.2,0.41,0.0,0.0,1.05,0.224,16.85,0.366,0.0,0.0
S5_false_ped_and_burst,fixed_time,20,4.324,0.24,12.15,0.745,7.6,0.486,68.0,2.34,3.255,0.161,83.25,1.41,11.0,0.0,11.0,0.0,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,42.3,1.78,26.05,1.05,0.0,0.0,2.1,0.308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_false_ped_and_burst,actuated,20,3.091,0.077,8.25,0.444,4.065,0.104,42.05,1.504,2.945,0.11,49.75,1.943,19.0,0.0,19.0,0.0,2.8,0.768,0.147,0.041,0.0,0.0,0.0,0.0,25.15,0.587,24.05,0.605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_false_ped_and_burst,adaptive_only,20,3.256,0.283,8.6,1.188,4.46,0.575,51.75,4.411,1.925,0.304,58.7,9.097,18.8,0.41,18.8,0.41,1.2,0.41,0.064,0.021,0.0,0.0,0.0,0.0,27.5,2.565,17.05,2.523,0.0,0.0,0.35,0.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S5_false_ped_and_burst,adaptive_shield,20,3.328,0.21,9.05,0.887,4.755,0.512,57.1,4.61,2.205,0.421,67.45,11.487,18.0,0.0,18.0,0.0,1.0,0.725,0.056,0.04,0.0,0.0,4.0,1.414,29.35,2.477,18.8,2.858,0.0,0.0,1.05,0.887,4.0,1.414,0.85,0.366,15.25,1.372,1.05,1.146
S6_detector_failure,fixed_time,20,4.301,0.204,11.95,0.51,7.535,0.399,67.55,2.395,6.3,0.186,82.7,1.75,11.0,0.0,11.0,0.0,2.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,41.9,1.41,44.95,0.686,0.0,0.0,3.9,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_detector_failure,actuated,20,3.104,0.106,8.35,0.489,4.09,0.168,42.1,1.334,2.165,0.15,46.6,2.963,19.0,0.0,19.0,0.0,4.25,0.444,0.224,0.023,0.0,0.0,0.0,0.0,25.25,0.786,18.75,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_detector_failure,adaptive_only,20,4.267,0.238,13.2,0.523,8.535,0.538,117.95,3.332,4.045,0.475,62.3,3.757,18.2,0.41,18.2,0.41,4.05,0.51,0.223,0.03,0.0,0.0,0.0,0.0,65.65,2.54,29.4,4.173,3.1,0.447,1.15,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S6_detector_failure,adaptive_shield,20,4.539,0.89,14.7,2.83,9.365,2.984,117.7,22.285,3.66,0.395,62.0,5.974,17.85,0.366,17.85,0.366,1.7,0.571,0.096,0.032,0.0,0.0,1.95,1.791,67.45,19.392,27.15,2.11,3.75,2.77,0.65,0.587,1.95,1.791,0.1,0.308,15.9,0.788,0.9,0.852
S7_combined_stress,fixed_time,20,10.033,0.524,24.3,0.923,9.525,0.456,68.75,1.118,6.3,0.186,82.7,1.75,11.0,0.0,11.0,0.0,1.0,0.0,0.091,0.0,0.0,0.0,0.0,0.0,46.1,1.21,44.95,0.686,0.0,0.0,3.9,0.641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S7_combined_stress,actuated,20,10.223,0.323,26.15,0.813,6.65,0.164,44.4,1.046,2.195,0.139,46.8,2.949,19.0,0.0,19.0,0.0,2.3,0.47,0.121,0.025,0.0,0.0,0.0,0.0,31.6,0.503,19.05,1.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S7_combined_stress,adaptive_only,20,4.163,0.306,12.2,1.005,2.875,0.22,57.9,2.954,5.005,0.495,68.25,5.83,18.1,0.308,18.1,0.308,0.95,0.394,0.053,0.022,0.0,0.0,0.0,0.0,19.5,1.051,35.55,3.517,0.0,0.0,2.35,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S7_combined_stress,adaptive_shield,20,4.127,0.318,12.3,1.174,2.84,0.314,53.65,6.556,5.305,0.525,73.4,7.104,17.85,0.366,17.85,0.366,0.7,0.47,0.04,0.027,0.0,0.0,3.7,1.418,19.3,1.342,37.65,3.407,0.0,0.0,2.35,1.089,3.7,1.418,1.65,0.671,13.8,1.056,3.15,0.988
